0, -7, nan, 1.000000
1, -10, -3.301689, 1.000000
2, -7, 0.024938, 1.000000
3, -7, 0.313818, 1.000000
4, -10, -0.278410, 1.000000
5, -116, -15.524695, 1.000000
6, -115, -19.268460, 1.000000
7, -112, -18.925063, 1.000000
8, -111, -17.442546, 1.000000
9, -11, -10.309815, 1.000000
10, -112, -10.548267, 1.000000
11, -98, -9.715181, 1.000000
12, -5, -5.824218, 1.000000
13, -96, -5.824507, 1.000000
14, -95, -5.653718, 1.000000
15, -114, -5.830925, 1.000000
16, -98, -5.525789, 1.000000
17, -96, -5.178720, 1.000000
18, -116, -5.162784, 1.000000
19, -117, -5.093038, 1.000000
20, -103, -4.494389, 1.000000
21, -112, -3.927285, 1.000000
22, -93, -2.882652, 1.000000
23, -102, -1.836543, 1.000000
24, -7, 0.665239, 1.000000
25, -96, 0.221754, 1.000000
26, -111, -0.468443, 1.000000
27, -114, -1.146289, 1.000000
0, -95, nan, 1.000000
1, -10, 85.146377, 1.000000
2, -109, -7.327689, 1.000000
3, -115, -16.147993, 1.000000
4, -7, 7.031115, 1.000000
5, -111, -2.270531, 1.000000
6, -94, -3.554683, 1.000000
7, -17, 2.613740, 1.000000
8, -10, 5.838971, 1.000000
9, -3, 7.538680, 1.000000
10, -110, 3.226334, 1.000000
11, -8, 4.567204, 1.000000
12, -97, 2.296856, 1.000000
13, -105, 0.558303, 1.000000
14, -114, -0.802800, 1.000000
15, -100, -1.379132, 1.000000
16, -96, -1.677426, 1.000000
17, -98, -1.898754, 1.000000
18, -16, -0.735420, 1.000000
19, -113, -1.254089, 1.000000
20, -115, -2.240128, 1.000000
21, -97, -1.596515, 1.000000
22, -111, -2.593181, 1.000000
23, -110, -3.673861, 1.000000
24, -100, -2.902462, 1.000000
25, -115, -3.863486, 1.000000
26, -3, -2.948951, 1.000000
27, -10, -1.056269, 1.000000
28, -12, 0.913124, 1.000000
29, -14, 2.980024, 1.000000
30, -10, 3.409277, 1.000000
31, -96, 4.085168, 1.000000
32, -13, 4.674194, 1.000000
33, -110, 3.612920, 1.000000
34, -93, 2.677704, 1.000000
35, -118, 1.575058, 1.000000
36, -17, 2.001292, 1.000000
37, -6, 2.428409, 1.000000
38, -112, 2.487165, 1.000000
39, -98, 1.369022, 1.000000
40, -112, 0.003699, 1.000000
41, -95, -0.840033, 1.000000
42, -112, -2.149682, 1.000000
43, -112, -3.441667, 1.000000
